Gender,Age group,Profession,Screen time,Social Media usage,Fav social media,Format preference Instagram,Format preference Youtube,Content preference,Reduced focus(Yes/No)?,Duration of focus,Difficulty focusing(Yes/No)?,Addiction (Yes/No)?,Happy/Guilty/Relaxed?,Attempt at reducing addiction (Yes/No),Effect on productivity(Yes/No)?,Year
Male,20-30,Employed,6-8 hours,< 2 hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Entertainment, Comedy",Maybe,5-10 mins,No,Sometimes,Neutral,Yes and i was successful,Sometimes,2025
Male,>50,Employed,8+ hours,8+ hours,Tiktok,Longer videos (>30 seconds),Longer videos (podcasts etc),Educational,Maybe,> 30 mins,Maybe,Sometimes,Neutral,"No, I dont want to",Sometimes,2025
Male,>50,Employed,8+ hours,< 2 hours,Facebook,"Reels (under 20 seconds), Instagram stories","Shorts, Videos (< 10mins)",Educational,Yes,> 30 mins,Yes,No,Entertained,Yes and i was successful,No,2025
Male,<20,Student,4-6 hours,< 2 hours,Youtube,Reels (under 20 seconds),Videos (< 10mins),"Entertainment, Comedy",Maybe,> 30 mins,No,Sometimes,"Relaxed, Neutral",Yes and i was successful,Yes,2025
Male,>50,Employed,2-4hours,< 2 hours,Youtube,Longer videos (>30 seconds),Longer videos (podcasts etc),"Latest trends, challenges etc",Yes,10-30mins,No,Yes,Entertained,Yes and i was unsuccessful,Yes,2025
Male,>50,Employed,6-8 hours,< 2 hours,Youtube,Longer videos (>30 seconds),Videos (< 10mins),"Entertainment, Comedy",Yes,< 5mins,Maybe,Sometimes,Neutral,Yes and i was successful,Yes,2025
Male,20-30,Employed,6-8 hours,< 2 hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Entertainment, Comedy",Maybe,5-10 mins,No,Sometimes,Neutral,Yes and i was successful,Sometimes,2025
Male,30-40,Freelancing,8+ hours,2-4 hours,Youtube,Longer videos (>30 seconds),"Shorts, Videos (< 10mins), Longer videos (podcasts etc)",Educational,Maybe,"< 5mins, > 30 mins",Yes,No,Neutral,"No, I dont want to",No,2025
Female,40-50,Unemployed,< 2hours,< 2 hours,Youtube,Reels (under 20 seconds),Longer videos (podcasts etc),Educational,Maybe,10-30mins,Yes,No,Neutral,"No, I dont want to",Sometimes,2025
Male,30-40,Employed,< 2hours,< 2 hours,Youtube,Longer videos (>30 seconds),Longer videos (podcasts etc),Educational,No,> 30 mins,No,Sometimes,Neutral,Yes and i was successful,No,2025
Female,20-30,"Employed, Freelancing",6-8 hours,4-6hours,Instagram,"Reels (under 20 seconds), Instagram stories","Videos (< 10mins), Longer videos (podcasts etc)","Lifestyle, Fitness",Yes,5-10 mins,Maybe,Sometimes,"Entertained, Neutral",Yes and i was unsuccessful,Yes,2025
Female,20-30,Unemployed,8+ hours,4-6hours,Instagram,"Longer videos (>30 seconds), Reels (under 20 seconds)","Shorts, Videos (< 10mins)",Educational,No,> 30 mins,No,"Yes, No","Relaxed, Entertained",Yes and i was successful,Yes,2025
Female,20-30,Student,4-6 hours,4-6hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Lifestyle, Fitness",Yes,10-30mins,Maybe,Sometimes,Neutral,Yes and i was unsuccessful,Sometimes,2025
Female,20-30,Student,2-4hours,2-4 hours,Instagram,Reels (under 20 seconds),Shorts,"Lifestyle, Fitness",Yes,5-10 mins,Yes,Yes,Guilty,Yes and i was unsuccessful,Sometimes,2025
Female,<20,Student,4-6 hours,2-4 hours,Youtube,Reels (under 20 seconds),"Shorts, Videos (< 10mins)","Latest trends, challenges etc",Maybe,10-30mins,Yes,Yes,Guilty,Yes and i was unsuccessful,Yes,2025
Female,20-30,Employed,8+ hours,2-4 hours,Instagram,Reels (under 20 seconds),Shorts,"Entertainment, Comedy",Maybe,10-30mins,Maybe,Sometimes,Relaxed,Yes and i was successful,No,2025
Male,30-40,Employed,4-6 hours,2-4 hours,Instagram,"Reels (under 20 seconds), Instagram stories","Shorts, Longer videos (podcasts etc)","Entertainment, Comedy",No,10-30mins,No,Sometimes,Entertained,Yes and i was successful,Yes,2025
Male,40-50,Employed,8+ hours,< 2 hours,Youtube,Reels (under 20 seconds),Shorts,"Entertainment, Comedy",Maybe,10-30mins,Yes,Sometimes,Entertained,Yes and i was unsuccessful,Sometimes,2025
Male,30-40,Employed,< 2hours,< 2 hours,Youtube,Longer videos (>30 seconds),Longer videos (podcasts etc),Educational,No,> 30 mins,No,Sometimes,Neutral,Yes and i was successful,No,2025
Female,20-30,Employed,4-6 hours,2-4 hours,Instagram,"Longer videos (>30 seconds), Reels (under 20 seconds), Instagram stories",Videos (< 10mins),"Entertainment, Comedy",Yes,10-30mins,Yes,Sometimes,Neutral,Yes and i was unsuccessful,Sometimes,2025
Male,30-40,Employed,2-4hours,< 2 hours,Instagram,Reels (under 20 seconds),Shorts,"Entertainment, Comedy",Yes,10-30mins,Yes,Yes,Entertained,Yes and i was successful,Sometimes,2025
Female,20-30,Employed,8+ hours,8+ hours,Instagram,Reels (under 20 seconds),"Videos (< 10mins), Longer videos (podcasts etc)","Lifestyle, Fitness","No, Maybe",10-30mins,No,Yes,Neutral,"No, I dont want to","Yes, Sometimes",2025
Male,>50,Employed,6-8 hours,< 2 hours,Youtube,Longer videos (>30 seconds),Videos (< 10mins),"Entertainment, Comedy",Yes,< 5mins,Maybe,Sometimes,Neutral,Yes and i was successful,Yes,2025
Male,<20,Student,8+ hours,8+ hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),"Entertainment, Comedy",No,5-10 mins,Yes,Yes,Entertained,Yes and i was unsuccessful,Yes,2025
Male,40-50,Employed,6-8 hours,< 2 hours,Facebook,Reels (under 20 seconds),"Videos (< 10mins), Longer videos (podcasts etc)","Latest trends, challenges etc",Yes,"5-10 mins, 10-30mins",Maybe,Yes,Entertained,Yes and i was successful,Sometimes,2025
Male,40-50,Employed,8+ hours,< 2 hours,Facebook,"Longer videos (>30 seconds), Reels (under 20 seconds)",Shorts,"Lifestyle, Fitness",Yes,5-10 mins,Maybe,Sometimes,Entertained,Yes and i was successful,Sometimes,2025
Male,30-40,Employed,2-4hours,2-4 hours,Youtube,Longer videos (>30 seconds),"Shorts, Longer videos (podcasts etc)",Educational,Yes,10-30mins,No,Sometimes,"Relaxed, Entertained",Yes and i was unsuccessful,Yes,2025
Male,40-50,Employed,< 2hours,< 2 hours,Instagram,Reels (under 20 seconds),Videos (< 10mins),Educational,No,> 30 mins,Yes,No,Neutral,"No, I dont want to",No,2025
Female,30-40,Employed,"4-6 hours, 6-8 hours, 8+ hours",4-6hours,Instagram,"Longer videos (>30 seconds), Reels (under 20 seconds)","Shorts, Videos (< 10mins)","Lifestyle, Fitness",Maybe,> 30 mins,Maybe,Yes,Entertained,Yes and i was unsuccessful,Yes,2025
Male,>50,Employed,8+ hours,< 2 hours,Facebook,"Reels (under 20 seconds), Instagram stories","Shorts, Videos (< 10mins)",Educational,Yes,> 30 mins,Yes,No,Entertained,Yes and i was successful,No,2025
Male,>50,Employed,2-4hours,< 2 hours,Youtube,Longer videos (>30 seconds),Videos (< 10mins),"Lifestyle, Fitness",Maybe,10-30mins,No,Sometimes,Relaxed,Yes and i was successful,Sometimes,2025
